YearsProgr,PersonalProj,Gender,WorkType,Company,Supervising,Studies,RelativeComp,AnnualNetSalary,Employer,Employee,observation_count
1,No,Man,Onsite,201to500,Yes,High School,Other,7800,Greece,Greece,1
1,Yes,Man,Remote,501plus,No,Bachelor,Yes,13000,Greece,Greece,1
3,Yes,Man,Hybrid,501plus,No,Master,Yes,26000,Greece,Greece,1
3,No,Man,Remote,501plus,No,Bachelor,Yes,27223,Abroad,Greece,1
1,Yes,Man,Remote,501plus,No,Bachelor,Yes,12228,Greece,Greece,1
12,No,Man,Hybrid,501plus,Yes,Master,Yes,27553,Greece,Greece,2
8,No,Man,Hybrid,501plus,Yes,Master,Yes,25994,Greece,Greece,4
3,No,Man,Remote,201to500,No,Bachelor,Other,16800,Greece,Greece,1
6,No,Man,Hybrid,101to200,No,Master,Yes,45000,Abroad,Abroad,4
6,No,Man,Remote,501plus,No,Post-secondary Education,Yes,32200,Greece,Greece,2
3,No,Man,Remote,11to50,No,Bachelor,Yes,21000,Abroad,Greece,2
1,Yes,Woman,Hybrid,101to200,No,Bachelor,Yes,28000,Abroad,Abroad,1
1,Yes,Man,Onsite,11to50,No,Bachelor,Other,4550,Greece,Greece,1
1,Yes,Man,Remote,11to50,No,Bachelor,Yes,10000,Greece,Abroad,1
4,No,Man,Hybrid,11to50,Yes,Bachelor,Other,1188,Greece,Greece,2
1,No,Man,Hybrid,501plus,No,Master,Yes,13000,Greece,Greece,1
1,No,Man,Hybrid,501plus,No,Bachelor,Yes,12892,Greece,Greece,2
7,No,Man,Hybrid,51to100,Yes,Bachelor,Yes,33600,Greece,Greece,1
6,Yes,Man,Hybrid,1to10,No,High School,Other,8400,Greece,Greece,2
20,Yes,Man,Hybrid,11to50,Yes,Master,Yes,3000,Greece,Greece,3
1,Yes,Man,Hybrid,201to500,No,Bachelor,Yes,18000,Greece,Greece,2
3,No,Man,Hybrid,11to50,No,High School,Other,21000,Greece,Greece,2
3,Yes,Man,Remote,1to10,Yes,Master,Other,19600,Greece,Greece,2
1,No,Man,Hybrid,201to500,No,Master,Yes,12000,Greece,Greece,2
4,No,Man,Remote,11to50,No,Bachelor,Yes,850,Greece,Greece,1
4,No,Man,Remote,201to500,No,Bachelor,Yes,23800,Greece,Greece,1
9,No,Man,Remote,11to50,Yes,Bachelor,Yes,29400,Greece,Greece,2
1,Yes,Man,Onsite,51to100,No,Bachelor,Yes,21000,Greece,Greece,1
1,No,Man,Onsite,11to50,No,Bachelor,Yes,10500,Greece,Greece,3
1,No,Man,Remote,1to10,Yes,Master,Other,14000,Greece,Greece,1
1,Yes,Man,Hybrid,11to50,No,Master,Yes,15600,Greece,Greece,1
2,No,Man,Hybrid,101to200,No,Bachelor,Yes,19000,Greece,Greece,1
2,Yes,Man,Hybrid,501plus,No,Bachelor,Other,1300,Greece,Greece,1
1,Yes,Man,Remote,51to100,No,Master,Yes,1000,Greece,Greece,2
1,No,Man,Hybrid,501plus,No,Master,Yes,10518,Greece,Greece,1
1,No,Man,Hybrid,501plus,No,Bachelor,Yes,39828,Abroad,Abroad,3
2,Yes,Man,Hybrid,101to200,Yes,Bachelor,Yes,1500,Greece,Greece,3
10,Yes,Man,Onsite,101to200,Yes,Bachelor,Yes,25000,Greece,Greece,6
1,Yes,Man,Hybrid,11to50,No,Master,Yes,10000,Greece,Greece,1
3,Yes,Man,Hybrid,51to100,No,Master,Yes,20000,Greece,Greece,1
5,No,Man,Remote,11to50,No,Bachelor,Yes,45000,Abroad,Greece,2
1,Yes,Man,Hybrid,501plus,No,Master,Other,59000,Abroad,Abroad,1
5,No,Man,Remote,501plus,No,Bachelor,Yes,22500,Greece,Greece,3
1,Yes,Man,Hybrid,201to500,No,Bachelor,Yes,800,Greece,Greece,1
9,No,Man,Onsite,201to500,No,PhD,Yes,22500,Greece,Greece,1
1,No,Woman,Hybrid,101to200,No,Bachelor,Yes,8974,Greece,Greece,1
4,Yes,Man,Hybrid,501plus,No,High School,Other,20000,Greece,Greece,1
5,No,Woman,Remote,51to100,No,Post-secondary Education,Yes,19600,Greece,Greece,2
3,Yes,Man,Onsite,1to10,Yes,Post-secondary Education,Yes,8000,Greece,Greece,2
6,Yes,Man,Hybrid,201to500,No,Master,Yes,22000,Greece,Greece,1
9,Yes,Man,Hybrid,201to500,Yes,Bachelor,Yes,31000,Greece,Greece,1
1,No,Man,Remote,11to50,No,Master,Yes,16320,Greece,Greece,1
1,Yes,Man,Hybrid,201to500,No,Bachelor,Yes,2156,Greece,Greece,2
8,Yes,Woman,Remote,1to10,Yes,Master,Yes,30000,Greece,Greece,3
6,Yes,Man,Onsite,11to50,Yes,High School,Other,22400,Greece,Greece,2
1,Yes,Man,Remote,501plus,No,Master,Yes,18200,Greece,Greece,2
10,Yes,Man,Remote,51to100,No,Bachelor,Yes,64000,Abroad,Greece,3
4,No,Man,Remote,11to50,No,Master,Yes,19600,Greece,Greece,2
2,No,Man,Hybrid,201to500,No,Bachelor,Yes,16025,NA,Greece,1
10,Yes,Man,Hybrid,101to200,No,Master,Yes,28000,Greece,Greece,3
1,Yes,Man,Remote,51to100,No,Bachelor,Yes,11461,Greece,Greece,1
4,Yes,Man,Hybrid,501plus,No,Bachelor,Yes,21556,Greece,Greece,1
4,Yes,Man,Remote,1to10,Yes,Bachelor,Other,35000,Greece,Greece,1
4,Yes,Man,Hybrid,51to100,No,Master,Other,23800,Greece,Greece,1
4,Yes,Man,Hybrid,201to500,No,Bachelor,Yes,14700,Greece,Greece,2
1,No,Man,Onsite,101to200,No,Bachelor,Other,1300,Abroad,Abroad,2
1,Yes,Man,Hybrid,1to10,No,Master,Yes,11900,Greece,Greece,1
5,No,Man,Hybrid,201to500,Yes,Master,Yes,29032,Greece,Greece,1
1,No,Man,Remote,1to10,Yes,Master,Yes,8400,Greece,Greece,2
5,Yes,Man,Remote,101to200,Yes,Master,Other,40000,Abroad,Greece,1
1,No,Man,Onsite,1to10,No,High School,Other,8400,Greece,Greece,2
5,No,Man,Remote,1to10,No,Master,Yes,29750,Abroad,Greece,1
4,Yes,Man,Hybrid,501plus,No,High School,Other,26050,Greece,Greece,2
8,No,Woman,Hybrid,51to100,No,Master,Yes,294,Greece,Greece,2
1,Yes,Man,Remote,1to10,No,Bachelor,Yes,12600,Greece,Greece,2
1,Yes,Man,Remote,11to50,Yes,Bachelor,Yes,30000,NA,Greece,1
8,No,Man,Hybrid,101to200,Yes,Master,Yes,30000,Greece,Greece,1
10,No,Man,Remote,101to200,No,Bachelor,Yes,40000,Greece,Greece,1
1,No,Man,Hybrid,501plus,Yes,Post-secondary Education,Yes,40000,Abroad,Abroad,2
4,No,Man,Hybrid,1to10,No,Post-secondary Education,Yes,182,Greece,Greece,2
2,No,Man,Hybrid,501plus,No,High School,Other,22940,Greece,Greece,2
20,No,Man,Remote,1to10,No,Master,Yes,25000,Greece,Greece,3
1,No,Man,Hybrid,51to100,No,Master,Other,13300,Greece,Greece,1
3,No,Man,Hybrid,51to100,Yes,Master,Yes,23000,Greece,Greece,2
2,Yes,Man,Hybrid,501plus,No,Master,Yes,1000,Greece,Greece,2
2,Yes,Man,Remote,501plus,No,Master,Yes,20000,Greece,Greece,2
1,Yes,Man,Remote,201to500,No,Bachelor,Yes,1060,Greece,Greece,3
1,No,Man,Remote,201to500,No,Bachelor,Other,11732,Greece,Greece,1
20,Yes,Man,Remote,501plus,Yes,Master,Yes,50000,Greece,Greece,3
1,No,Man,Hybrid,501plus,No,Bachelor,Yes,11900,Greece,Greece,1
16,No,Man,Remote,101to200,No,Master,Yes,28000,Greece,Greece,2
2,No,Man,Remote,51to100,No,High School,Other,25200,Greece,Greece,1
3,Yes,Man,Remote,1to10,Yes,Bachelor,Yes,20900,Greece,Greece,3
1,No,Man,Hybrid,501plus,No,Bachelor,Yes,15120,Greece,Greece,2
2,No,Man,Onsite,11to50,No,Master,Yes,16000,Greece,Greece,2
8,Yes,Woman,Hybrid,51to100,No,Master,Yes,21200,Greece,Greece,4
15,No,Man,Hybrid,201to500,Yes,Master,Yes,56000,Greece,Greece,1
1,Yes,Man,Hybrid,1to10,No,Master,Yes,9600,Greece,Greece,2
